id,signed_up_at,has_activated_card,closed_account_at,tnc_country_group,os,first_name,last_name
u22226,2019-09-06,True,,GrE       ,iOS,Justin,Williams
u11950,2018-11-07,True,,DEU       ,android,Clayton,Norman
u30719,2020-03-10,True,,ESP       ,iOS,Herbert,Haynes
u17263,2019-04-23,True,,ESP       ,android,Nathan,Lowe
u25912,2019-12-01,True,,ITA       ,iOS,Ophelia,Obrien
u10000,2018-09-06,True,,FRA       ,android,Brian,Greer
u7897,2018-06-20,True,,DEU       ,iOS,Rose,Clarke
u7799,2018-06-15,True,,GrE       ,android,Austin,Cross
u15585,2019-02-28,True,,FRA       ,iOS,Willie,Barber
u13769,2019-01-05,True,,DEU       ,android,Alejandro,Nguyen
u38812,2020-05-31,False,,ITA       ,android,Nell,McCarthy
u3667,2017-08-05,False,,FRA       ,iOS,Scott,Silva
u9007,2018-08-04,True,,DEU       ,android,Herman,Jenkins
u29476,2020-02-15,True,,ESP       ,android,Roy,Schwartz
u11196,2018-10-14,True,,GrE       ,android,Elijah,Kennedy
u28293,2020-01-24,True,,FRA       ,android,John,Simpson
u1925,2016-12-03,True,,DEU       ,iOS,Brian,Gutierrez
u24066,2019-10-18,True,,FRA       ,android,Ethel,Douglas
u10423,2018-09-20,True,,FRA       ,iOS,Clayton,Ramos
u10502,2018-09-23,True,,ITA       ,android,Oscar,Mann
u40007,2020-06-05,False,,FRA       ,android,Ryan,Maldonado
u24202,2019-10-21,True,,FRA       ,iOS,Ernest,Rios
u38762,2020-05-30,False,,ITA       ,iOS,Landon,Cain
u23437,2019-10-03,True,,FRA       ,iOS,Amanda,Hunt
u5132,2017-12-24,True,,FRA       ,iOS,Eula,Dennis
u30785,2020-03-11,True,,ESP       ,iOS,Cody,Carter
u11028,2018-10-08,True,,DEU       ,iOS,Leah,Pratt
u28053,2020-01-19,True,,ITA       ,android,Emma,McGee
u12038,2018-11-11,True,,NEuro     ,iOS,Jackson,Holmes
u33703,2020-04-29,False,,FRA       ,iOS,Ronnie,Walton
u41796,2020-06-15,False,2020-07-01,FRA       ,iOS,Nellie,Hardy
u41845,2020-06-15,False,,FRA       ,android,Wesley,Jennings
u40689,2020-06-08,False,,ESP       ,android,Jason,Bradley
u39021,2020-05-31,False,2020-06-16,ESP       ,android,Martin,Turner
u29689,2020-02-18,True,2020-09-03,AUT       ,iOS,Myrtie,McLaughlin
u36759,2020-05-22,False,,FRA       ,android,Mina,Moore
u39570,2020-06-03,False,,ITA       ,android,Jason,McDonald
u9985,2018-09-06,True,,FRA       ,iOS,Gary,Hale
u32348,2020-04-10,False,,ITA       ,iOS,Celia,Parker
u41201,2020-06-11,False,2020-06-24,NEuro     ,iOS,Tyler,Romero
u33584,2020-04-28,False,,FRA       ,iOS,Leah,Black
u8318,2018-07-09,True,,FRA       ,iOS,Barry,Gregory
u6049,2018-02-23,True,,DEU       ,iOS,Connor,Roberts
u7499,2018-05-29,True,,FRA       ,iOS,Katie,King
u9943,2018-09-04,True,,DEU       ,android,Lois,Robertson
u38686,2020-05-30,False,,ITA       ,iOS,Travis,Murray
u33271,2020-04-24,True,,DEU       ,iOS,Bertie,Kelly
u32207,2020-04-07,True,,FRA       ,iOS,Philip,Burke
u31403,2020-03-22,False,,ITA       ,iOS,Martin,Peters
u2519,2017-03-06,True,,FRA       ,iOS,Isabella,Welch
u28326,2020-01-25,True,,DEU       ,iOS,Don,Franklin
u6141,2018-03-02,True,,DEU       ,iOS,Jon,McCarthy
u35765,2020-05-16,False,,DEU       ,android,Edwin,Long
u9074,2018-08-07,True,,DEU       ,iOS,Ella,Rowe
u31425,2020-03-23,False,,FRA       ,android,Callie,McKinney
u6346,2018-03-14,True,,GrE       ,iOS,Hattie,Ryan
u41844,2020-06-15,False,2020-06-27,ITA       ,iOS,Leo,Walters
u13583,2018-12-31,True,,FRA       ,android,Leroy,Garrett
u34396,2020-05-05,False,,FRA       ,iOS,Lola,Richardson
u41296,2020-06-12,False,,NEuro     ,iOS,Mina,Flores
u4203,2017-09-28,True,,DEU       ,iOS,Stanley,Stephens
u9854,2018-09-02,True,,ESP       ,android,Floyd,Banks
u28385,2020-01-26,True,,FRA       ,iOS,Ellen,Gray
u7430,2018-05-26,True,,FRA       ,android,Nora,Bates
u18126,2019-05-20,True,,FRA       ,iOS,Fannie,Walters
u4300,2017-10-08,True,,DEU       ,iOS,Nancy,Gutierrez
u26645,2019-12-20,True,,GrE       ,android,Jeremiah,Morris
u36563,2020-05-21,False,,ITA       ,iOS,Belle,Hampton
u28450,2020-01-27,True,,GrE       ,android,Anne,Lindsey
u666,2015-12-12,True,,FRA       ,android,Russell,Walters
u26093,2019-12-06,True,,FRA       ,iOS,Susie,Willis
u8776,2018-07-28,True,,ITA       ,android,Harriett,Stevenson
u33253,2020-04-24,False,2020-05-19,ITA       ,android,Nathan,Fox
u6647,2018-04-05,True,,FRA       ,iOS,Daisy,Sims
u779,2016-01-05,True,,DEU       ,android,May,Conner
u17491,2019-04-29,True,,GrE       ,android,Darrell,Sanders
u34457,2020-05-05,False,2020-06-16,ITA       ,android,Minnie,Nichols
u35131,2020-05-11,True,2020-07-18,FRA       ,iOS,Nathaniel,Stanley
u8229,2018-07-05,True,,ITA       ,android,Blake,Armstrong
u17322,2019-04-25,True,,DEU       ,android,Jacob,Tate
u20303,2019-07-25,True,,DEU       ,iOS,Marcus,Olson
u34259,2020-05-04,False,,FRA       ,android,Calvin,Weaver
u6235,2018-03-09,True,,DEU       ,iOS,Brent,Peters
u7731,2018-06-11,True,,FRA       ,android,Clarence,Dean
u2436,2017-02-22,True,,FRA       ,android,Estella,Andrews
u40553,2020-06-07,False,,FRA       ,iOS,Matilda,Hammond
u130,2015-05-23,True,,DEU       ,iOS,Carolyn,Moreno
u2705,2017-04-05,False,2020-07-01,FRA       ,android,Jay,Pearson
u7022,2018-05-01,True,2020-08-18,DEU       ,iOS,Jeremy,Moody
u36671,2020-05-22,False,,FRA       ,android,Alvin,Hall
u37851,2020-05-26,False,2020-06-13,ESP       ,android,Leon,Fletcher
u36970,2020-05-23,False,,ITA       ,android,Grace,Malone
u15274,2019-02-19,True,,FRA       ,android,Ronnie,Coleman
u23288,2019-09-30,True,,ITA       ,android,Julian,Graves
u26762,2019-12-23,True,,FRA       ,iOS,Millie,Valdez
u29670,2020-02-18,True,,ITA       ,iOS,Charlie,Owens
u18694,2019-06-09,True,,FRA       ,iOS,Sylvia,Swanson
u37120,2020-05-24,False,,FRA       ,android,Noah,Grant
u988,2016-02-09,True,,FRA       ,android,Mason,Valdez
u39601,2020-06-03,False,2020-06-16,FRA       ,iOS,Luis,Wolfe
u20893,2019-08-08,True,,DEU       ,android,Edna,Estrada
u5166,2017-12-26,True,,DEU       ,android,Sarah,Warner
u7009,2018-05-01,True,,ITA       ,iOS,Julian,Mullins
u8815,2018-07-29,True,,DEU       ,android,Evan,Wise
u7431,2018-05-26,True,,FRA       ,android,Rose,Miller
u8436,2018-07-15,False,,FRA       ,iOS,Ricardo,Newton
u30475,2020-03-04,True,,FRA       ,android,Larry,Ortiz
u19518,2019-07-03,True,,ITA       ,iOS,Terry,Lopez
u28396,2020-01-26,True,2020-10-03,FRA       ,android,Norman,Briggs
u18979,2019-06-18,True,,DEU       ,iOS,Cecelia,Powell
u17299,2019-04-24,True,,GrE       ,android,Victoria,Cohen
u30746,2020-03-10,True,,GrE       ,android,Harry,Saunders
u22112,2019-09-03,True,,NEuro     ,iOS,Pearl,Bailey
u3288,2017-06-25,True,,FRA       ,iOS,Harriett,Robbins
u7990,2018-06-24,True,,ESP       ,iOS,Harry,Obrien
u18149,2019-05-20,True,,GrE       ,iOS,Jeff,Clayton
u1550,2016-07-23,True,,DEU       ,android,Evelyn,Cox
u12681,2018-12-02,True,,FRA       ,iOS,Estelle,Welch
u25517,2019-11-22,False,2020-06-06,DEU       ,iOS,Brian,Bennett
u13853,2019-01-07,False,2020-06-27,FRA       ,iOS,Jesus,Collins
u16367,2019-03-24,True,,GrE       ,iOS,Cory,Mason
u8378,2018-07-13,True,,GrE       ,android,Craig,Hoffman
u21321,2019-08-17,True,,ESP       ,android,Rodney,Curtis
u36601,2020-05-22,False,,ITA       ,android,Emma,Kelley
u17449,2019-04-28,True,,ESP       ,android,Nicholas,Gray
u23912,2019-10-14,True,,FRA       ,iOS,Jean,Ford
u7340,2018-05-19,True,,FRA       ,android,Edna,Garner
u8203,2018-07-04,True,,DEU       ,android,Sally,Richardson
u18266,2019-05-25,False,,GrE       ,android,Myrtie,Valdez
u35724,2020-05-16,False,,FRA       ,android,Andre,Swanson
u17210,2019-04-20,True,,ESP       ,android,Marion,Peterson
u18084,2019-05-19,True,,FRA       ,iOS,Ruby,Saunders
u36945,2020-05-23,False,,DEU       ,iOS,Brent,Park
u22053,2019-09-01,False,,FRA       ,iOS,Ian,Elliott
u14366,2019-01-22,True,,GrE       ,iOS,Matilda,Bush
u5453,2018-01-14,True,,ITA       ,iOS,Eula,Marsh
u17404,2019-04-27,True,,DEU       ,android,Melvin,Houston
u19484,2019-07-02,False,,FRA       ,android,Alta,Long
u9373,2018-08-17,True,,DEU       ,android,Isaiah,Bridges
u82,2015-04-20,True,,DEU       ,iOS,Carrie,Parks
u4553,2017-11-01,True,,DEU       ,iOS,Harold,Pittman
u4146,2017-09-23,True,,DEU       ,iOS,Antonio,Weber
u17198,2019-04-20,True,,ITA       ,iOS,Augusta,Paul
u26160,2019-12-07,True,2020-07-22,FRA       ,android,Bernice,Neal
u9452,2018-08-20,True,,GrE       ,iOS,Glenn,Banks
u11817,2018-11-03,True,,DEU       ,android,Danny,Ray
u29857,2020-02-22,True,2020-11-06,DEU       ,android,Eunice,Lindsey
u4845,2017-11-27,True,,FRA       ,android,Jeanette,Sherman
u11699,2018-10-30,True,,FRA       ,android,Marguerite,Martin
u17397,2019-04-27,True,,FRA       ,android,Leona,Valdez
u16208,2019-03-18,True,,FRA       ,android,Cameron,Crawford
u13018,2018-12-14,True,,FRA       ,android,Joseph,Lynch
u41086,2020-06-10,False,,GrE       ,iOS,Jacob,Copeland
u29095,2020-02-08,True,,ESP       ,iOS,Mabel,Graham
u25668,2019-11-25,True,,FRA       ,iOS,Devin,Ramos
u28993,2020-02-07,True,,ESP       ,iOS,Janie,Reese
u41527,2020-06-13,False,,ITA       ,android,Claudia,Young
u30343,2020-03-02,False,,DEU       ,android,Gabriel,Fitzgerald
u12615,2018-12-01,True,,ESP       ,iOS,Julia,Briggs
u40163,2020-06-06,False,,DEU       ,android,Jeffrey,Hudson
u35508,2020-05-15,False,2020-10-30,ITA       ,iOS,Nell,Lewis
u4631,2017-11-09,True,,DEU       ,iOS,Rhoda,Lynch
u33077,2020-04-21,True,2020-10-27,FRA       ,android,Jesus,Webb
u35149,2020-05-11,True,,FRA       ,iOS,Ethel,Gregory
u4339,2017-10-11,True,,FRA       ,iOS,Jackson,Cannon
u21591,2019-08-23,True,,GrE       ,android,Brent,Buchanan
u1741,2016-10-21,True,,DEU       ,iOS,Lester,McCoy
u42176,2020-06-19,False,,DEU       ,android,Henrietta,Bryan
u32911,2020-04-19,True,2020-08-11,ESP       ,iOS,Annie,Reeves
u39765,2020-06-04,False,,FRA       ,iOS,Rodney,Wolfe
u21171,2019-08-14,True,,DEU       ,android,Sophia,Wilkerson
u18082,2019-05-19,True,,FRA       ,iOS,Robert,Hughes
u6660,2018-04-06,True,,DEU       ,iOS,Johanna,Moody
u30277,2020-02-29,True,2020-07-18,ESP       ,iOS,Peter,Russell
u4033,2017-09-12,True,,AUT       ,android,Brent,Moreno
u36,2015-03-03,True,,AUT       ,android,Melvin,Montgomery
u7643,2018-06-06,True,,FRA       ,iOS,Fanny,Tate
u22168,2019-09-04,True,,NEuro     ,android,Gerald,Adkins
u11443,2018-10-23,True,,ESP       ,android,Walter,Price
u25791,2019-11-28,False,,FRA       ,iOS,Amanda,Shelton
u23756,2019-10-11,True,,FRA       ,android,Edward,Curtis
u34893,2020-05-10,False,,DEU       ,android,Mamie,Nguyen
u997,2016-02-11,True,,DEU       ,iOS,Frederick,Fowler
u39850,2020-06-04,False,,GrE       ,android,Jordan,Flores
u2361,2017-02-13,True,,AUT       ,iOS,Seth,Scott
u34672,2020-05-08,True,,FRA       ,iOS,Philip,Jimenez
u30925,2020-03-14,False,,FRA       ,android,Amanda,Perry
u24462,2019-10-27,True,2020-06-13,FRA       ,iOS,Lucile,Allison
u16626,2019-03-31,True,2020-07-10,FRA       ,android,Brandon,Smith
u25446,2019-11-20,True,,DEU       ,iOS,Isaac,Carpenter
u28224,2020-01-23,True,,GrE       ,iOS,Mittie,Maxwell
u12533,2018-11-27,False,2020-07-02,FRA       ,iOS,Harold,Kennedy
u37915,2020-05-27,False,2020-06-10,ITA       ,iOS,Christian,Johnson
u29262,2020-02-11,True,,ITA       ,iOS,Hester,Bush
u41859,2020-06-15,False,2020-06-27,GrE       ,iOS,Claudia,Norman
u6732,2018-04-11,True,2020-08-31,FRA       ,iOS,Carolyn,Lopez
u19766,2019-07-10,True,,ITA       ,iOS,Noah,Lambert
u39872,2020-06-05,False,,FRA       ,iOS,Lenora,Page
u27872,2020-01-17,True,,FRA       ,android,Maggie,Russell
u20194,2019-07-22,True,2020-11-15,FRA       ,android,Bernice,McCoy
u7451,2018-05-27,True,,ITA       ,android,Ricardo,Gibbs
u9463,2018-08-20,True,,FRA       ,android,Caroline,Johnson
u34824,2020-05-09,False,,DEU       ,android,Walter,Sanchez
u5193,2017-12-27,True,,FRA       ,android,Martha,Castro
u21446,2019-08-19,True,,FRA       ,iOS,Michael,Scott
u27856,2020-01-16,True,,FRA       ,android,Herbert,Palmer
u9348,2018-08-16,True,,ESP       ,iOS,Mathilda,Walsh
u28618,2020-01-30,True,,FRA       ,iOS,Luis,Reese
u12459,2018-11-25,True,,GrE       ,iOS,Wesley,Brewer
u24436,2019-10-26,True,,DEU       ,android,Richard,Dixon
u25559,2019-11-23,True,2020-07-14,FRA       ,android,Garrett,Holland
u26444,2019-12-15,True,,DEU       ,iOS,Tommy,Morton
u21903,2019-08-30,True,,DEU       ,iOS,Sara,Schneider
u20110,2019-07-20,True,,FRA       ,iOS,Millie,Newton
u39966,2020-06-05,False,2020-06-17,DEU       ,iOS,Johnny,Gregory
u11313,2018-10-18,True,,FRA       ,android,Jorge,Tran
u34351,2020-05-05,True,,FRA       ,android,Lela,Fisher
u11819,2018-11-03,True,,FRA       ,android,Bess,Curry
u34420,2020-05-05,False,2020-06-23,FRA       ,android,Jeremy,Gibbs
u21803,2019-08-27,True,,NEuro     ,android,Herbert,Jackson
u40210,2020-06-06,False,,GrE       ,iOS,Nathan,Reeves
u31056,2020-03-16,True,,FRA       ,android,Luella,Sutton
u4951,2017-12-06,True,,DEU       ,android,Sadie,Perry
u34080,2020-05-03,False,,ESP       ,android,Cora,Ray
u41150,2020-06-11,False,2020-06-23,FRA       ,iOS,Katharine,Gardner
u19658,2019-07-07,True,2020-06-10,FRA       ,android,Norman,Carr
u2383,2017-02-16,True,,FRA       ,iOS,Martha,Black
u9917,2018-09-03,True,,FRA       ,iOS,Norman,Schwartz
u4468,2017-10-25,True,,ESP       ,android,Lula,Gilbert
u28771,2020-02-02,True,,ITA       ,android,Martin,Lawrence
u1702,2016-09-30,True,2020-06-10,DEU       ,iOS,Marc,Weber
u1652,2016-09-07,True,,DEU       ,android,Iva,Bradley
u38505,2020-05-29,False,,ITA       ,iOS,Flora,Owen
u41848,2020-06-15,False,2020-06-27,DEU       ,iOS,Eugenia,Colon
u29278,2020-02-11,True,,FRA       ,android,Iva,Powers
u23925,2019-10-15,False,,FRA       ,android,Marcus,Cohen
u39558,2020-06-03,False,2020-06-16,DEU       ,iOS,Mabel,Tucker
u34458,2020-05-05,False,,ITA       ,android,Susan,Parsons
u20776,2019-08-05,True,,DEU       ,iOS,Dale,Brown
u40573,2020-06-08,False,,FRA       ,android,Caroline,Sims
u11417,2018-10-21,True,,FRA       ,iOS,Marguerite,Vaughn
u24669,2019-11-01,False,2020-06-17,DEU       ,android,Lena,Higgins
u12437,2018-11-24,True,,FRA       ,android,Daniel,Martinez
u21788,2019-08-27,True,,GrE       ,iOS,Edna,Owens
u4919,2017-12-03,True,2020-12-18,FRA       ,android,Steven,Pena
u21285,2019-08-17,False,,DEU       ,iOS,Cecilia,McLaughlin
u22731,2019-09-17,True,,ESP       ,iOS,Steven,Morrison
u19719,2019-07-08,True,,DEU       ,android,Louise,Phillips
u37292,2020-05-24,False,,DEU       ,iOS,Leo,Hardy
u16455,2019-03-26,True,,FRA       ,iOS,Henry,Brock
u1601,2016-08-12,True,,AUT       ,android,Ophelia,Gardner
u38138,2020-05-28,False,,FRA       ,iOS,Maria,Hogan
u41084,2020-06-10,False,,ITA       ,android,Pauline,Garcia
u38205,2020-05-28,False,,ITA       ,android,Isabella,Green
u16943,2019-04-12,True,,FRA       ,android,Vera,Jacobs
u40901,2020-06-09,False,2020-06-23,FRA       ,iOS,Don,Howell
u40920,2020-06-09,False,,GrE       ,iOS,Sarah,Rodriquez
u37957,2020-05-27,False,,DEU       ,android,Edward,Barton
u18945,2019-06-17,True,,FRA       ,iOS,Sallie,Ramirez
u34769,2020-05-09,True,2020-09-25,GrE       ,iOS,Rosa,Leonard
u18641,2019-06-07,False,,FRA       ,iOS,Daniel,Colon
u11986,2018-11-09,True,,FRA       ,iOS,Jeffery,Jenkins
u6228,2018-03-08,True,,DEU       ,iOS,Eleanor,Murphy
u36871,2020-05-23,False,,DEU       ,android,Stella,Maldonado
u13205,2018-12-21,True,,FRA       ,iOS,Harvey,Ray
u29169,2020-02-10,False,,GrE       ,android,Eleanor,Owens
u11766,2018-11-01,False,2020-10-05,FRA       ,iOS,Steve,Foster
u27053,2019-12-29,True,,FRA       ,iOS,Barry,Santos
u9806,2018-08-31,True,,FRA       ,android,Phillip,Stevens
u7760,2018-06-13,True,,DEU       ,iOS,Alan,Berry
u6268,2018-03-11,True,,AUT       ,android,Lora,Bates
u21478,2019-08-20,True,,GrE       ,iOS,Gene,Neal
u9475,2018-08-20,True,,AUT       ,iOS,Ivan,Snyder
u9557,2018-08-23,True,,FRA       ,iOS,Francis,Garcia
u30701,2020-03-09,False,2020-06-18,ITA       ,android,Sophia,Potter
u17103,2019-04-17,True,,FRA       ,android,Frank,Brady
u8350,2018-07-11,True,,DEU       ,iOS,Lura,Hopkins
u4893,2017-12-02,True,,AUT       ,iOS,Amy,Waters
u31661,2020-03-27,True,,ESP       ,android,Olive,Hill
u8303,2018-07-08,True,,DEU       ,android,Frederick,Graves
u2547,2017-03-10,True,,DEU       ,iOS,Genevieve,Greer
u23487,2019-10-04,True,,FRA       ,android,Hettie,Valdez
u13001,2018-12-13,False,2020-06-20,FRA       ,iOS,Jerry,Morgan
u4412,2017-10-19,True,,GrE       ,iOS,Ernest,Potter
u36174,2020-05-19,False,2020-06-09,NEuro     ,android,Landon,Nguyen
u21952,2019-08-31,True,,ESP       ,iOS,Rosalie,Ingram
u631,2015-12-05,True,,FRA       ,iOS,Alta,Wilkins
u23866,2019-10-13,True,,FRA       ,iOS,Francis,Singleton
u20078,2019-07-19,True,,DEU       ,android,Dean,Waters
u2585,2017-03-18,True,,FRA       ,android,Florence,Meyer
u20513,2019-07-29,True,,DEU       ,iOS,Lawrence,Lane
u191,2015-07-03,True,,DEU       ,android,Virginia,Lewis
u20763,2019-08-04,True,,FRA       ,android,Rose,Daniel
u11721,2018-10-31,True,,FRA       ,android,Nathaniel,Knight
u26618,2019-12-20,True,,GrE       ,android,Adam,Daniels
u27787,2020-01-14,True,,FRA       ,android,Dale,Cortez
u3058,2017-05-28,True,,FRA       ,android,Logan,Barton
u35223,2020-05-12,True,2020-07-16,FRA       ,iOS,Jackson,Luna
u34222,2020-05-04,False,,NEuro     ,android,Clayton,Myers
u32625,2020-04-14,True,,ESP       ,android,Pearl,Edwards
u41834,2020-06-15,False,,FRA       ,android,Jane,Holloway
u42314,2020-06-20,False,,ESP       ,android,Rosa,Francis
u36741,2020-05-22,False,,NEuro     ,android,Gerald,Hogan
u25879,2019-11-30,True,2020-06-08,FRA       ,iOS,Virgie,Harper
u20612,2019-08-01,True,,ITA       ,android,Jeffery,Strickland
u1036,2016-02-14,True,,DEU       ,android,Gordon,Allen
u14102,2019-01-14,True,2020-06-28,ITA       ,iOS,Dale,Ramsey
u20937,2019-08-09,True,,FRA       ,android,Adelaide,Hampton
u6212,2018-03-07,True,,ITA       ,android,Eleanor,Saunders
u28674,2020-01-31,True,,DEU       ,iOS,Janie,McCoy
u38727,2020-05-30,False,,FRA       ,iOS,Katherine,Ross
u20670,2019-08-02,True,,ESP       ,iOS,Katie,Estrada
u36675,2020-05-22,False,,FRA       ,iOS,Christina,McLaughlin
u19693,2019-07-08,True,,ITA       ,android,Ryan,Brewer
u39662,2020-06-03,False,,FRA       ,iOS,Bryan,Weber
u4682,2017-11-13,True,2020-10-29,GrE       ,android,Maria,Burgess
u2880,2017-05-01,True,,FRA       ,iOS,Lenora,Fowler
u36407,2020-05-20,False,,FRA       ,iOS,Carolyn,Reid
u33132,2020-04-22,False,,GrE       ,iOS,Micheal,May
u9768,2018-08-30,True,,DEU       ,iOS,Tyler,Hale
u33957,2020-05-02,True,,FRA       ,android,Sarah,Lawrence
u24386,2019-10-25,True,,ITA       ,iOS,Hattie,Santiago
u26588,2019-12-19,False,,DEU       ,iOS,Richard,Murray
u10410,2018-09-20,False,2020-06-09,ITA       ,iOS,Manuel,Davis
u36506,2020-05-21,False,,GrE       ,iOS,Mollie,Sullivan
u17423,2019-04-27,True,,DEU       ,iOS,Beatrice,Olson
u30172,2020-02-27,False,,FRA       ,iOS,Alan,Wright
u7743,2018-06-12,True,,FRA       ,iOS,Daisy,Garza
u24593,2019-10-30,True,,FRA       ,iOS,Ricky,Copeland
u30328,2020-03-01,False,,DEU       ,android,Brett,Cox
u47,2015-03-18,True,,DEU       ,android,Georgia,Valdez
u27922,2020-01-17,True,2020-12-04,GrE       ,android,Joe,Fowler
u10267,2018-09-15,False,2020-06-09,DEU       ,iOS,Gregory,Stewart
u23091,2019-09-24,False,,DEU       ,android,Emily,Davis
u11412,2018-10-21,True,,FRA       ,iOS,Christopher,Hunter
u2896,2017-05-03,True,,DEU       ,iOS,Keith,Joseph
u31950,2020-04-02,False,2020-06-18,FRA       ,android,Ella,Campbell
u40511,2020-06-07,False,,GrE       ,android,Blake,Banks
